,sentence
1249,"Nude Ares standing facing, head left, wearing crested helmet, holding right arm down and spear in left arm with a shield."
1250,"Asclepius standing facing, head right, right hand on his back, holding serpent-staff in left arm and a scroll in left hand; chin resting on serpent-staff. Border of dots."
1251,"Draped bust of Faustina II, right, wearing beaded ribbon and hair knot. Border of dots."
1252,"Veiled Hera standing facing, head left, wearing long garment, holding patera in outstretched right hand, left resting on sceptre. Ground line. Border of dots."
1253,"Tyche seated left on rock, wearing kalathos, holding rudder in right hand, resting left arm on rock. Border of dots."
1254,"Eagle standing facing, head right, wings half-spread."
1255,"Closed city gate, flanked by two round towers with conical roof; above, gallery of six arches."
1256,"Galley, under full sail, sailing right, in waters."
1257,"Veiled Demeter seated left on basket, wearing stephane and long garment, holding three ears of corn and poppy in lowered right hand and long torch in left."
1258,"Laureate bust of Maximinus Thrax, right."
1259,"Veiled Demeter enthroned left, wearing long garment, holding three ears of corn and poppy in lowered right hand, left resting on long torch. Border of dots."
1260,"Apollo seated right, playing lyre."
1261,"Nude Dionysus standing facing, head left, holding cantharus in right hand over a panther seated left, head right, with raised forepaw, pelleted and filleted thyrsus in left arm."
1262,"Dolphin swimming right, holding trident; between two tunnies, upper to left, lower to right."
1263,"Nude Heracles advancing right, strangeling lion; on the left side, bow and arrows."
1264,"Nude Heracles advancing right, strangling lion."
1265,"Nude Heracles advancing left, strangling lion."
1266,"Veiled Cybele enthroned left, holding patera in outstretched right hand, left arm resting on tympanon."
1267,"Eros riding right on dolphin, holding wipe in right hand."
1268,"Crescent; above, seven stars with eight rays."
1269,"Nude Apollo standing facing, head left, holding patera in outstretched right hand and laurel-branch in left hand. In right field, E."
1270,"Nude Apollo standing facing, head left, holding laurel-branch in right hand and leaning left on tripod with serpent. In left field, E."
1271,"Nude Apollo standing right, seen from behind, holding laurel-branch in lowered right hand and cloth pressed with the left on the hip; in right field; E."
1272,"Nude Ares standing facing, head left, wearing helmet, holding an unidentified object in right hand; at left arm shield, holding lance with left hand. In left field, mark of value E."
1273,"Athena standing facing, head with helmet to the left, holding patera in outstretched right hand and lance in left hand; at her feet, shield; in front of her, olive tree, entwined by serpent; monogram E in left field."
1274,"Nude Heracles standing right, resting right hand on club, lion skin over left arm, holding bow in left arm. In left field, E."
1275,"Artemis advancing right, wearing short fluttering chiton, fluttering cloak and boots, holding bow in left hand and drawing arrow from quiver at shoulder with right hand; at her feet, hound running right. Ground line. Border of dots."
1276,"Laureate bust of youthful Gordian III, right, wearing cuirass and paludamentum."
1277,"Nude athlete standing facing, head right, crowning himself with right hand, holding palm branch in left arm. Border of dots."
1278,"Eros riding left on dolphin, holding reins in both hands. Border of dots."
1279,"Nude bearded Heracles advancing left, head right, drawing arrow with right hand from quiver, holding bow in outstretched left hand; in right field, two Stymphalian birds flying left and a third flying right. Ground line. Border of dots."
1280,"Heracles standing right, lion skin over left arm, holding club overhead in raised right hand and left hand outstretched; at right, Hippolyte, seated right, head left, on a horse to right, wearing fluttering cloak, holding double ax in right hand. Ground line. Border of dots."
1281,"Nude bearded Heracles advancing right, head left, lion skin over left shoulder, holding club with left hand over left shoulder, drawing out Cerberus on a leash, behind him, a tree."
1282,"Zeus within zodiac; in the middle, Zeus seated facing, holding patera in outstretched right hand, left resting on sceptre; at his feet, eagle to left, head right, with half spread wings; all within a double circle divided into twelve compartments containing the signs of the zodiac."
1283,"Serapis standing left, wearing kalathos, holding wreath in raised right hand, left resting on sceptre; to right Homonoia standing facing, head left, holding wreath in right hand over lighted and garlanded altar and cornucopia in left arm. Ground line. Border of dots."
1284,"Athena standing facing, head left, wearing long garment and helmet, holding patera in outstretched right hand and spear with shield in left arm. Short ground line. Border of dots."
1285,"Winged Nemesis (Aequitas) standing facing, head left, holding scales in right hand and reins in left hand. Ground line. Border of dots."
1286,"Athena standing facing, head left, wearing long garment and helmet, holding patera in outstretched right hand, left resting on sceptre; in front of her, shield."
1287,"Athena standing facing, head left, wearing helmet and long garment; holding wreath in right hand over lighted altar and spear in left arm. Ground line. Border of dots."
1288,"Homonoia standing facing, head left, holding wreath in right hand over lighted altar and cornucopia in left arm. Ground line. Border of dots."
1289,"Nude Heracles standing facing, head left, holding kantharos in right hand and club in left hand, lion skin over left arm."
1290,"Laureate bust of Gallienus, left, wearing cuirass and paludamentum, holding spear in right hand and shield in left arm. Border of dots."
1291,"Nude bearded Heracles advancing left, in raised right hand club, lion skin over left arm; floating two left-leaping cattle, the rear looking backwards. Ground line. Border of dots."
1292,"Heracles advancing left, brandishing club in raised left hand."
1293,"Nude, bearded Heracles standing right, wearing lion skin over shoulder, holding an ax in both hands; in front, a pile of stones; at his feet, basket. Border of dots."
1294,The Three Charites (or Nymphs?) standing facing; holding each other's shoulder.
1295,"Nude Apollo standing facing, head left, legs crossed, holding in right arm lyre which rests on tripod; tripod entwined by serpent; left arm over his head, holding a laurel-branch. Ground line. Border of dots."
1296,"Veiled Demeter seated left cista mystica with half-open lid, out of which serpent creeps right, wearing corn wreath, holding a poppy between two ears of corn in right hand, left resting on long torch. Border of dots."
1297,Two prize crowns; each containing a palm branch. Ground line. Border of dots.
1298,"Two ornated prize crowns, each containing two palm fonds; between them tortoise? Ground line. Border of dots."
1299,"Galley, under full sail, sailing left, in waters, with seven rowers. Border of dots."
1300,"Veiled Demeter seated left on rock, holding two ears of corn in outstretched right hand, left resting on long torch. Ground line. Border of dots."
1301,"Demeter and Homonoia, clasping right hands; to left, veiled Demeter standing right, wearing corn wreath; to right, Homonoia standing facing, head left, wearing kalathos, holding cornucopia in left arm. Ground line. Border of dots."
